title,vote_average,vote_count,tür,Tür_0,Tür_1,Tür_2,Tür_3,Tür_4,Tür_5,Tür_6,Tür_7,Tür_8,Tür_9,Tür_10,Tür_11,Tür_12,Tür_13,Tür_14,Tür_15,Tür_16,Tür_17,Tür_18,Tür_19
The Island of Dr. Moreau,4.6,147,"['Fantasy', 'Horror', 'Science Fiction']",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The Musketeer,5.2,56,"['Action', 'Adventure', 'Drama']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
The Other Boleyn Girl,6.4,477,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sweet November,6.4,278,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
The Reaping,5.4,205,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mean Streets,7.2,345,"['Drama', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Renaissance Man,5.9,81,"['Comedy', 'War']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Colombiana,6.5,824,"['Action', 'Thriller', 'Crime', 'Drama']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Quest for Camelot,6.9,190,"['Fantasy', 'Animation', 'Drama', 'Romance', 'Family']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
City By The Sea,5.7,92,"['Crime', 'Drama', 'Mystery']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
At First Sight,5.9,48,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Torque,4.7,119,['Action'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City Hall,6.0,67,"['Drama', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Showgirls,4.9,256,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marie Antoinette,6.5,642,"['Drama', 'History']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kiss of Death,5.7,81,"['Action', 'Crime', 'Drama', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Get Carter,4.8,145,"['Action', 'Drama', 'Thriller', 'Crime']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Impossible,7.0,2025,"['Thriller', 'Drama']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ishtar,4.2,28,"['Action', 'Adventure', 'Comedy']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Fantastic Mr. Fox,7.5,1176,"['Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Life or Something Like It,5.7,124,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Memoirs of an Invisible Man,5.7,125,"['Comedy', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Amélie,7.8,3310,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
New York Minute,5.5,185,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alfie,5.6,248,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Big Miracle,6.6,152,"['Adventure', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
The Deep End of the Ocean,5.9,54,"['Drama', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FearDotCom,3.2,105,"['Horror', 'Thriller']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cirque du Freak: The Vampire's Assistant,5.5,348,"['Adventure', 'Fantasy', 'Action', 'Thriller']",0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Duplex,5.9,482,"['Action', 'Comedy', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Soul Men,6.3,47,"['Comedy', 'Music']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Raise the Titanic,5.2,21,"['Action', 'Drama', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Universal Soldier: The Return,4.2,135,"['Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Pandorum,6.5,774,"['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Impostor,6.1,135,"['Action', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Extreme Ops,5.0,28,"['Action', 'Adventure', 'Drama', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Just Visiting,4.8,171,"['Comedy', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Sunshine,7.0,1182,"['Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Thousand Words,6.0,373,"['Drama', 'Comedy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Delgo,5.4,15,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Science Fiction', 'Family']",0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
The Gunman,5.5,392,"['Action', 'Drama', 'Crime']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Stormbreaker,5.1,213,"['Adventure', 'Action', 'Family']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Disturbia,6.6,1006,"['Thriller', 'Drama', 'Mystery']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Hackers,6.2,398,"['Action', 'Crime', 'Thriller', 'Drama']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Hunting Party,6.6,96,"['Action', 'Adventure', 'Thriller', 'Drama']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
The Hudsucker Proxy,7.1,275,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Warlords,6.3,83,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nomad: The Warrior,4.3,17,"['Action', 'History', 'War']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Snowpiercer,6.7,2854,"['Action', 'Science Fiction', 'Drama']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
A Monster in Paris,6.5,313,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
The Last Shot,5.9,15,"['Action', 'Comedy']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Crow,7.3,953,"['Fantasy', 'Action', 'Thriller']",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baahubali: The Beginning,7.5,135,"['Action', 'Adventure', 'War', 'History']",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Time Traveler's Wife,6.7,798,"['Drama', 'Romance', 'Fantasy']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Because I Said So,5.8,191,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frankenweenie,6.6,932,"['Animation', 'Comedy', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Serenity,7.4,1264,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Against the Ropes,4.5,32,"['Romance', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Superman III,5.3,490,"['Comedy', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Grudge Match,6.0,433,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red Cliff,7.1,205,"['Adventure', 'Drama', 'Action']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Sweet Home Alabama,6.0,394,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Ugly Truth,6.4,972,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sgt. Bilko,5.5,94,"['Comedy', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Spy Kids 2: The Island of Lost Dreams,5.3,521,"['Action', 'Adventure', 'Family']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Star Trek: Generations,6.4,452,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Grandmaster,6.3,273,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Water for Elephants,6.7,850,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Dragon Nest: Warriors' Dawn,6.8,19,"['Adventure', 'Family', 'Fantasy', 'Animation']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hurricane,7.2,396,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Enough,6.2,264,"['Drama', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Heartbreakers,5.7,254,"['Crime', 'Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Paul Blart: Mall Cop 2,5.0,567,"['Action', 'Comedy', 'Family']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Angel Eyes,5.6,88,"['Drama', 'Romance', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Joe Somebody,5.5,40,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Ninth Gate,6.3,756,"['Horror', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Extreme Measures,5.7,80,"['Drama', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rock Star,6.0,190,"['Music', 'Drama', 'Comedy']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Precious,6.9,417,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
White Squall,6.3,86,"['Action', 'Drama']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Thing,7.8,1588,"['Horror', 'Mystery', 'Science Fiction']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Riddick,6.2,2035,"['Science Fiction', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Switchback,5.8,52,"['Action', 'Adventure', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Texas Rangers,5.4,19,"['Action', 'Western']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
City of Ember,6.2,605,"['Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Master,7.0,701,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Virgin Territory,4.3,75,"['Adventure', 'Action', 'Comedy', 'Romance']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
The Express,7.1,71,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The 5th Wave,5.6,1945,"['Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Creed,7.3,1915,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Town,7.0,1468,"['Crime', 'Drama', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
What to Expect When You're Expecting,5.8,594,"['Romance', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Burn After Reading,6.5,1222,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nim's Island,5.6,330,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Rush,7.7,2277,"['Drama', 'Action']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Magnolia,7.5,825,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cop Out,5.3,511,"['Action', 'Comedy', 'Crime']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
How to Be Single,5.9,1201,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dolphin Tale,6.7,163,"['Drama', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Twilight,5.8,3561,"['Adventure', 'Fantasy', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
John Q,7.0,594,"['Drama', 'Thriller', 'Crime']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blue Streak,6.1,352,"['Action', 'Comedy', 'Crime']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
We're the Millers,6.8,2972,"['Comedy', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Inhabited Island,5.3,23,"['Action', 'Fantasy', 'Science Fiction', 'Thriller']",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Breakdown,6.6,198,"['Drama', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Never Say Never Again,5.8,338,"['Adventure', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hot Tub Time Machine,6.0,894,"['Science Fiction', 'Comedy', 'Adventure']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Dolphin Tale 2,6.7,96,"['Family', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Reindeer Games,5.4,173,['Thriller'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Man Apart,5.8,258,"['Action', 'Drama']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Aloha,5.2,692,"['Drama', 'Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Ghosts of Mississippi,6.2,40,"['History', 'Drama']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Snow Falling on Cedars,6.3,32,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
The Rite,5.8,556,"['Drama', 'Thriller', 'Horror']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gattaca,7.5,1808,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Isn't She Great,4.6,14,"['Drama', 'Comedy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Space Chimps,5.2,99,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Head of State,5.3,71,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Hangover,7.2,6173,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ip Man 3,6.5,379,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Austin Powers: The Spy Who Shagged Me,6.2,1011,"['Adventure', 'Comedy', 'Crime', 'Science Fiction']",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Batman,7.0,2096,"['Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
There Be Dragons,5.9,27,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lethal Weapon 3,6.4,811,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
The Blind Side,7.2,1597,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spy Kids,5.5,867,"['Action', 'Comedy', 'Family', 'Adventure']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Horrible Bosses,6.5,2277,"['Comedy', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
True Grit,7.2,1668,"['Drama', 'Adventure', 'Western']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
The Devil Wears Prada,7.0,3088,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Star Trek: The Motion Picture,6.2,530,"['Science Fiction', 'Adventure', 'Mystery']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Identity Thief,5.6,1645,"['Comedy', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cape Fear,7.0,675,"['Crime', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6.5,1375,"['Drama', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trainwreck,5.9,1181,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guess Who,5.5,225,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The English Patient,7.0,542,"['Drama', 'Romance', 'War']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
L.A. Confidential,7.7,1310,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Sky High,5.8,550,"['Adventure', 'Comedy', 'Family']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
In & Out,6.3,177,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Species,5.5,453,"['Science Fiction', 'Horror', 'Action']",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
A Nightmare on Elm Street,7.2,1180,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Cell,6.0,436,"['Horror', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The Man in the Iron Mask,6.3,1018,"['Action', 'Adventure', 'Drama']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Secretariat,6.8,103,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TMNT,6.0,345,"['Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Radio,6.8,141,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Friends with Benefits,6.5,2237,"['Romance', 'Comedy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Neighbors 2: Sorority Rising,5.6,1462,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Saving Mr. Banks,7.3,1226,"['Comedy', 'Drama', 'History']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Malcolm X,7.2,370,"['Drama', 'History']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
This Is 40,5.6,896,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Dogs,5.2,210,"['Comedy', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Underworld: Rise of the Lycans,6.2,1428,"['Fantasy', 'Action', 'Adventure', 'Science Fiction', 'Thriller']",0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
License to Wed,5.2,253,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Benchwarmers,5.2,242,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Must Love Dogs,5.8,140,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Donnie Brasco,7.4,1147,"['Crime', 'Drama', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Resident Evil,6.4,2065,"['Horror', 'Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Poltergeist,7.0,794,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Ladykillers,6.0,415,"['Comedy', 'Crime', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Max Payne,5.2,613,['Action'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
In Time,6.7,3417,"['Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Back-Up Plan,5.7,458,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Something Borrowed,5.9,296,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Black Knight,5.1,287,"['Adventure', 'Comedy', 'Fantasy']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Bad News Bears,6.9,97,"['Comedy', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Street Fighter,4.1,325,"['Action', 'Adventure', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Pianist,8.0,1864,"['Drama', 'War']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Nativity Story,6.4,35,"['Drama', 'History']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
House of Wax,5.5,677,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Closer,6.7,811,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
J. Edgar,6.0,741,"['Drama', 'Crime', 'History']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mirrors,6.0,485,"['Horror', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Queen of the Damned,5.4,239,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Predator 2,5.9,730,"['Science Fiction', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Untraceable,5.9,238,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blast from the Past,6.3,245,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Flash Gordon,6.1,233,['Science Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jersey Girl,5.8,325,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alex Cross,5.1,300,"['Action', 'Thriller', 'Crime', 'Mystery']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Midnight in the Garden of Good and Evil,6.3,157,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Heist,5.6,318,"['Crime', 'Action', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nanny McPhee and the Big Bang,6.0,436,"['Comedy', 'Fantasy']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoffa,6.1,81,"['Crime', 'History']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The X Files: I Want to Believe,5.5,523,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Ella Enchanted,5.9,437,"['Family', 'Fantasy', 'Comedy']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Concussion,7.0,823,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Abduction,5.6,961,"['Thriller', 'Action', 'Mystery']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Valiant,5.2,235,"['Animation', 'Family', 'Adventure']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Wonder Boys,6.9,161,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Superhero Movie,4.9,379,"['Action', 'Comedy', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Broken City,5.7,593,"['Thriller', 'Crime', 'Drama']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cursed,5.1,167,"['Horror', 'Comedy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Premium Rush,6.2,832,"['Crime', 'Action', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hot Pursuit,5.4,647,"['Action', 'Comedy', 'Crime']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
